Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
6300101,"Arroz (polido, parboilizado, agulha, agulhinha, etc.)",135.6229457071333,ARROZ POLIDO PARBOILIZADO AGULHA AGULHINHA
6300201,Arroz integral,130.9456437535,ARROZ INTEGRAL
6300701,Milho (em grão),160.141,MILHO GRAO
6300706,Canjiquinha de milho em grão,79.68,CANJIQUINHA MILHO GRAO
6300707,Xerém de milho,62.952,XEREM MILHO
6301001,Amendoim (em grão) in natura,567.0,AMENDOIM GRAO IN NATURA
6301101,Ervilha em grão,109.093,ERVILHA GRAO
6301201,Fava (em grão),85.617,FAVA GRAO
6301204,Mangalô amargo em grão,85.617,MANGALO AMARGO GRAO
6301603,Feijão-de-corda,121.332,FEIJAO DE CORDA
6301634,Feijão-verde,121.332,FEIJAO VERDE
6302001,Semente de linhaça,534.0,SEMENTE LINHACA
6302602,Andu,97.405,ANDU
6302801,Grão de bico,188.481,GRAO BICO
6302901,Lentilha,136.277,LENTILHA
6303001,Soja em grão,196.342,SOJA GRAO
6303102,"Feijão (preto, mulatinho, roxo, rosinha, etc.)",97.405,FEIJAO PRETO MULATINHO ROXO ROSINHA
6303501,Quirera não especificada,62.952,QUIRERA ESPECIFICADA
6304034,Feijão-verde orgânico,121.332,FEIJAO VERDE ORGANICO
6304101,Feijão orgânico,97.405,FEIJAO ORGANICO
6304201,Pipoca  light,445.938,PIPOCA  LIGHT
6304301,Arroz  orgânico,135.6229457071333,ARROZ  ORGANICO
6304401,Arroz integral orgânico,130.9456437535,ARROZ INTEGRAL ORGANICO
6304602,Feijão-de-soja orgânico,196.342,FEIJAO DE SOJA ORGANICO
6304901,Quinoa,135.465,QUINOA
6400101,Batata-inglesa,86.0,BATATA INGLESA
6400303,Mandioquinha salsa (batata-baroa),76.0,MANDIOQUINHA SALSA BATATA BAROA
6400304,Cenoura amarela (batata-baroa),76.0,CENOURA AMARELA BATATA BAROA
6400401,Batata-doce,76.0,BATATA DOCE
6400501,Inhame,100.0,INHAME
6400508,Quicaré,100.0,QUICARE
6400601,Mandioca,125.0,MANDIOCA
6400609,Aipim,125.0,AIPIM
6400610,Macaxeira,125.0,MACAXEIRA
6400701,Cará,100.0,CARA
6400713,Inhame caraquento (cará),100.0,INHAME CARAQUENTO CARA
6400802,Batata (não especificada),86.0,BATATA ESPECIFICADA
6400908,Mandioquinha,76.0,MANDIOQUINHA
6401001,Rabanete,16.0,RABANETE
6401101,Beterraba,43.0,BETERRABA
6401201,Cenoura,41.0,CENOURA
6401301,Nabo,22.0,NABO
6401601,Açafrão,310.0,ACAFRAO
6401801,Batata-inglesa orgânica,263.5,BATATA INGLESA ORGANICA
6500101,Creme de arroz,148.323,CREME ARROZ
6500104,Arrozina,148.323,ARROZINA
6500105,Mucilon,78.243,MUCILON
6500108,Mingau de arroz,148.323,MINGAU ARROZ
6500202,Croquinhos de arroz,387.0,CROQUINHOS ARROZ
6500301,Farinha de aveia,384.0,FARINHA AVEIA
6500401,Aveia em flocos,384.0,AVEIA FLOCOS
6500601,Fubá de milho,60.58,FUBA MILHO
6500603,Farinha de milho,351.0,FARINHA MILHO
6500608,Puba de milho,311.0,PUBA MILHO
6500609,Puba de fubá,311.0,PUBA FUBA
6500613,Milho moído,160.141,MILHO MOIDO
6500614,Mingau de milho,78.243,MINGAU MILHO
6500702,Amido de milho,78.243,AMIDO MILHO
6500705,Amido de arroz,148.323,AMIDO ARROZ
6500801,Cremogema,78.243,CREMOGEMA
6500802,Vitamilho,128.3,VITAMILHO
6500804,Creme de milho,78.243,CREME MILHO
6500902,Sucrilhos de milho,377.0,SUCRILHOS MILHO
6500903,Cereal matinal de milho em flocos,377.0,CEREAL MATINAL MILHO FLOCOS
6501301,Germe de trigo,360.0,GERME TRIGO
6501303,Fibra de trigo,216.0,FIBRA TRIGO
6501304,Fibra de cereal trigo,216.0,FIBRA CEREAL TRIGO
6501401,Farinha de mandioca,361.0,FARINHA MANDIOCA
6501410,Farinha de copioba,361.0,FARINHA COPIOBA
6501415,Farinha d'água,361.0,FARINHA D AGUA
6501416,Cruera,361.0,CRUERA
6501502,Goma de mandioca,336.0,GOMA MANDIOCA
6501505,Sagu de mandioca,116.992,SAGU MANDIOCA
6501510,Farinha de tapioca,331.0,FARINHA TAPIOCA
6501511,Farinha beiju,331.0,FARINHA BEIJU
6501515,Sagu de tapioca,116.992,SAGU TAPIOCA
6501516,Tapioca de goma,336.0,TAPIOCA GOMA
6502001,Farinha láctea,396.67,FARINHA LACTEA
6502101,Neston,345.8,NESTON
6502102,Flocos de cereais,365.0,FLOCOS CEREAIS
6502105,Vitaflocos,78.243,VITAFLOCOS
6502403,Mini pizza semipronta,252.49,MINI PIZZA SEMIPRONTA
6502501,Fibra de soja,70.0,FIBRA SOJA
6502603,Minipastel,319.807,MINIPASTEL
6503401,Macarrão ,158.0,MACARRAO
6503501,Purê de batata,115.161,PURE BATATA
6503601,Bife vegetal,142.372,BIFE VEGETAL
6503603,Carne vegetal,142.372,CARNE VEGETAL
6503604,Pasta de soja,62.0,PASTA SOJA
6503605,Carne de soja,142.372,CARNE SOJA
6503702,Amendoim moído,567.0,AMENDOIM MOIDO
6504101,Granola ,388.0,GRANOLA
6504601,Musli,388.0,MUSLI
6504701,Mix de cereais,388.0,MIX CEREAIS
6504801,Miojo,189.862,MIOJO
6504802,Macarrão instantâneo,189.862,MACARRAO INSTANTANEO
6505101,Sustagem,369.152,SUSTAGEM
6505601,Proteína de soja,142.372,PROTEINA SOJA
6505603,Proteína vegetal,142.372,PROTEINA VEGETAL
6505701,Complemento alimentar de qualquer sabor,369.152,COMPLEMENTO ALIMENTAR QUALQUER SABOR
6505902,Sucrilhos de milho light,365.0,SUCRILHOS MILHO LIGHT
6506003,Mini pizza semipronta light,255.571,MINI PIZZA SEMIPRONTA LIGHT
6506302,Macarrão instantâneo light,189.862,MACARRAO INSTANTANEO LIGHT
6506401,Proteína de soja orgânica,142.372,PROTEINA SOJA ORGANICA
6573225,Macarrão com carne,120.586,MACARRAO CARNE
6573226,Macarrão com peixe,163.168,MACARRAO PEIXE
6600101,Coco-da-baía (seco ou verde),354.0,COCO DA BAIA SECO VERDE
6600301,Castanha portuguesa,131.0,CASTANHA PORTUGUESA
6600401,Pinhão,174.36990200000002,PINHAO
6600501,Amêndoa,578.0,AMENDOA
6600601,Avelã,628.0,AVELA
6600701,Castanha-do-pará,656.0,CASTANHA DO PARA
6600801,Castanha de caju,574.0,CASTANHA CAJU
6600912,Butiá,105.0,BUTIA
6601108,Tucumã,474.0,TUCUMA
6601208,Coco de mucajá,404.2818766666667,COCO MUCAJA
6601501,Noz (nogueira),654.0,NOZ NOGUEIRA
6601706,Açaí ,262.0,ACAI
6601707,Juçara,262.0,JUCARA
6601709,Uaçaí,262.0,UACAI
6601712,Jussara,262.0,JUSSARA
6601805,Pupunha,28.0,PUPUNHA
6601902,Bacaba,212.0,BACABA
6601904,Bacabuçu,212.0,BACABUCU
6602001,Castanha-da-índia,656.0,CASTANHA DA INDIA
6602201,Pistache,557.0,PISTACHE
6602301,Buriti ,145.0,BURITI
6602401,Coco ,354.0,COCO
6602601,Patauá ,105.0,PATAUA
6700101,Alface,15.0,ALFACE
6700201,Bertalha,45.3,BERTALHA
6700301,Chicória,17.0,CHICORIA
6700304,Escarola,52.88,ESCAROLA
6700501,Couve,30.0,COUVE
6700601,Couve-flor,23.0,COUVE FLOR
6700701,Espinafre,23.0,ESPINAFRE
6700801,Mostarda (verdura),26.0,MOSTARDA VERDURA
6700901,Repolho,25.0,REPOLHO
6701101,Cebolinha,25.0,CEBOLINHA
6701301,Agrião,25.0,AGRIAO
6701401,Taioba,34.0,TAIOBA
6701501,Acelga,19.0,ACELGA
6701505,Beterraba branca (acelga) ,14.0,BETERRABA BRANCA ACELGA
6701601,Almeirão,17.0,ALMEIRAO
6701602,Radite,17.0,RADITE
6701704,Brócolis,34.0,BROCOLIS
6701801,Serralha,23.0,SERRALHA
6701901,Caruru,26.0,CARURU
6701906,Cuxá,26.0,CUXA
6701907,Vinagreira ,26.0,VINAGREIRA
6701913,Cariru,26.0,CARIRU
6702001,Rúcula,25.0,RUCULA
6702105,Jambu,32.0,JAMBU
6702201,Língua de vaca (verdura),30.0,LINGUA VACA VERDURA
6702301,Alcachofra,53.0,ALCACHOFRA
6702501,Bredo,26.0,BREDO
6702604,Salsão (aipo),18.0,SALSAO AIPO
6702801,Erva-doce,31.0,ERVA DOCE
6703003,Folha de aipim,30.0,FOLHA AIPIM
6703004,Folha de macaxeira,26.0,FOLHA MACAXEIRA
6703101,Broto de feijão,30.0,BROTO FEIJAO
6703306,Moranga,20.0,MORANGA
6703701,Abobrinha,16.0,ABOBRINHA
6703805,Jerimum,20.0,JERIMUM
6703901,Abóbora,20.0,ABOBORA
6704001,Pépino,15.0,PEPINO
6704101,Chuchu,24.0,CHUCHU
6704201,Jiló,22.0,JILO
6704301,Maxixe,14.0,MAXIXE
6704306,Pepininho (maxixe),14.0,PEPININHO MAXIXE
6704401,Palmito in natura,28.0,PALMITO IN NATURA
6704409,Guariroba (palmito in natura),28.0,GUARIROBA PALMITO IN NATURA
6704410,Gueroba (palmito in natura),28.0,GUEROBA PALMITO IN NATURA
6704501,Pimentão,20.0,PIMENTAO
6705001,Quiabo,22.0,QUIABO
6705101,Tomate,18.0,TOMATE
6705201,Vagem,35.0,VAGEM
6705301,Cogumelo in natura,28.0,COGUMELO IN NATURA
6705401,Berinjela,32.9,BERINJELA
6705501,Ervilha em vagem,67.093,ERVILHA VAGEM
6705701,Cebola,40.0,CEBOLA
6705801,Catalonha,42.94,CATALONHA
6706101,Jardineira (seleta),47.0,JARDINEIRA SELETA
6706102,Seleta (jardineira),47.0,SELETA JARDINEIRA
6706201,Alho,149.0,ALHO
6706301,Alho-poró,54.479,ALHO PORO
6707301,Broto de alfafa,23.0,BROTO ALFAFA
6707801,Alface orgânica,15.0,ALFACE ORGANICA
6707901,Tomate orgânico,18.0,TOMATE ORGANICO
6708001,Pimentão orgânico,20.0,PIMENTAO ORGANICO
6709701,Orégano,306.0,OREGANO
6801017,Pacová,78.0,PACOVA
6801101,"Banana (ouro, prata, d´água, da terra, etc.)",89.0,BANANA OURO PRATA DAGUA TERRA
6801801,"Laranja (pera, seleta, lima, da terra, etc.)",47.0,LARANJA PERA SELETA LIMA TERRA
6801901,Lima,47.0,LIMA
6802001,"Limão (comum, galego, etc.)",30.0,LIMAO COMUM GALEGO
6802201,Tangerina,53.0,TANGERINA
6802202,Mexerica,53.0,MEXERICA
6802217,Bergamota,53.0,BERGAMOTA
6802218,Mimosa,53.0,MIMOSA
6802223,Tanja,53.0,TANJA
6802227,Maricota,53.0,MARICOTA
6802407,Laranjinha japonesa,47.0,LARANJINHA JAPONESA
6802501,Cana-de-açúcar,73.58,CANA DE ACUCAR
6802601,Abacaxi,48.0,ABACAXI
6802602,Ananás,48.0,ANANAS
6802701,Abacate,120.0,ABACATE
6802801,Caqui,70.0,CAQUI
6802901,Figo,74.0,FIGO
6803001,Maçã,52.0,MACA
6803101,Mamão,39.0,MAMAO
6803108,Papaia,39.0,PAPAIA
6803201,Manga,65.0,MANGA
6803215,Manguito,65.0,MANGUITO
6803301,Maracujá,97.0,MARACUJA
6803401,Melancia,30.0,MELANCIA
6803501,Melão,36.0,MELAO
6803601,pera,58.0,PERA
6803701,Pêssego,39.0,PESSEGO
6803801,Fruta-de-conde,74.0,FRUTA DE CONDE
6803802,Pinha (fruta-de-conde),74.0,PINHA FRUTA DE CONDE
6803803,Ata,74.0,ATA
6803901,Uva,69.0,UVA
6803912,Uva passa,299.0,UVA PASSA
6804001,Jenipapo ,113.0,JENIPAPO
6804101,Jaca,94.0,JACA
6804201,Goiaba,68.0,GOIABA
6804203,Araçá-açu (goiaba),68.0,ARACA ACU GOIABA
6804301,Ameixa,46.0,AMEIXA
6804401,Caju,43.0,CAJU
6804501,Cereja,63.0,CEREJA
6804601,Cajá-manga,46.0,CAJA MANGA
6804602,Cajarana,46.0,CAJARANA
6804701,Taperebá,70.0,TAPEREBA
6804702,Acaja (taberebá),46.0,ACAJA TABEREBA
6804801,Carambola,31.0,CARAMBOLA
6804901,Jabuticaba,73.0,JABUTICABA
6805001,Graviola,62.0,GRAVIOLA
6805201,Morango,32.0,MORANGO
6805301,Jambo,27.0,JAMBO
6805401,Atemoia ,74.0,ATEMOIA
6805601,Mangaba,43.0,MANGABA
6805701,Araçá,68.0,ARACA
6805801,Nêspera,47.0,NESPERA
6805901,Fruta-pão,103.0,FRUTA PAO
6806001,Sapoti,96.0,SAPOTI
6806101,Uxi,252.0,UXI
6806201,Tamarindo,239.0,TAMARINDO
6806301,Cacau,74.0,CACAU
6806401,Pitomba ,66.0,PITOMBA
6806501,Bacuri,105.0,BACURI
6806601,Ingá,60.0,INGA
6806701,Pequi,152.0,PEQUI
6806801,Pitanga ,41.0,PITANGA
6806901,Ciriguela,76.0,CIRIGUELA
6807001,Murici,66.0,MURICI
6807101,Umbu,37.0,UMBU
6807103,Imbu,37.0,IMBU
6807202,Biribá,74.0,BIRIBA
6807301,Cupuaçu,49.0,CUPUACU
6807401,Nectarina,44.0,NECTARINA
6807501,Mari,281.1,MARI
6807601,Romã,56.0,ROMA
6807701,Acerola,32.0,ACEROLA
6807801,Kiwi,61.0,KIWI
6808001,Abiu,62.0,ABIU
6808201,Jurubeba,126.0,JURUBEBA
6808401,Fruta (não especificada),89.0,FRUTA ESPECIFICADA
6808601,Maçã orgânica,52.0,MACA ORGANICA
6808901,Acerola orgânica,32.0,ACEROLA ORGANICA
6809901,Amora,43.0,AMORA
6810201,Jamelão (jamburão),73.0,JAMELAO JAMBURAO
6900302,Demerara,387.0,DEMERARA
6900304,Açúcar mascavo,380.0,ACUCAR MASCAVO
6900401,Rapadura,296.0,RAPADURA
6900402,Alfenim de cana,296.0,ALFENIM CANA
6900403,Batida (rapadura),380.0,BATIDA RAPADURA
6900501,Sorvete de qualquer sabor industrializado,205.995,SORVETE QUALQUER SABOR INDUSTRIALIZADO
6900502,Picolé de qualquer sabor industrializado,79.0,PICOLE QUALQUER SABOR INDUSTRIALIZADO
6900601,Chiclete,396.0,CHICLETE
6900603,Bala,394.0,BALA
6900604,Caramelo (bala),382.0,CARAMELO BALA
6900605,Drops,394.0,DROPS
6900606,Pastilha,396.0,PASTILHA
6900607,Pirulito,394.0,PIRULITO
6900609,Goma de mascar,396.0,GOMA MASCAR
6900610,Jujuba,375.0,JUJUBA
6900701,Tablete de chocolate,535.0,TABLETE CHOCOLATE
6900702,Barra de chocolate,535.0,BARRA CHOCOLATE
6900706,Confete,492.0,CONFETE
6900801,Chocolate em pó de qualquer marca,364.237,CHOCOLATE PO QUALQUER MARCA
6900818,Ovomaltine,388.0,OVOMALTINE
6900821,Achocolatado em pó,400.0,ACHOCOLATADO PO
6900822,Toddynho,83.322,TODDYNHO
6900901,Bombom de qualquer marca,373.0,BOMBOM QUALQUER MARCA
6900904,Trufa ,487.872,TRUFA
6901001,Geleia de frutas de qualquer marca ou sabor,278.0,GELEIA FRUTAS QUALQUER MARCA SABOR
6901002,Mousse de qualquer sabor (Geleia) ,331.892,MOUSSE QUALQUER SABOR GELEIA
6901101,Geleia de mocotó,120.25,GELEIA MOCOTO
6901201,Doce de frutas em pasta de qualquer sabor,291.3,DOCE FRUTAS PASTA QUALQUER SABOR
6901203,Pasta de amendoim,588.0,PASTA AMENDOIM
6901204,Pessegada,77.0,PESSEGADA
6901206,Marmelada,278.0,MARMELADA
6901209,Figada,88.0,FIGADA
6901211,Goiabada,291.3,GOIABADA
6901214,Caju em pasta,291.3,CAJU PASTA
6901224,Mariola,291.3,MARIOLA
6901301,Doce de frutas em calda de qualquer sabor,77.0,DOCE FRUTAS CALDA QUALQUER SABOR
6901401,Doce de frutas cristalizado de qualquer sabor,291.3,DOCE FRUTAS CRISTALIZADO QUALQUER SABOR
6901501,Melado,296.0,MELADO
6901602,Mel ,304.0,MEL
6901701,Gelatina de qualquer sabor,278.0,GELATINA QUALQUER SABOR
6901801,Adoçante artificial,0.0,ADOCANTE ARTIFICIAL
6902004,Merengue,358.256,MERENGUE
6902301,Schimier de cana,296.0,SCHIMIER CANA
6902401,Fruta seca ou desidratada,240.0,FRUTA SECA DESIDRATADA
6902402,Passa,299.0,PASSA
6902601,Pudim de qualquer sabor,131.148,PUDIM QUALQUER SABOR
6902607,Danette pudim,131.148,DANETTE PUDIM
6902701,Manjar,284.979,MANJAR
6902901,Cuscuz,128.3,CUSCUZ
6902902,Cuscuz de tapioca,116.992,CUSCUZ TAPIOCA
6903001,Maria-mole,444.921,MARIA MOLE
6903101,Cocada,404.8,COCADA
6903102,Quebra-queixo,404.8,QUEBRA QUEIXO
6903201,Doce de amendoim,451.58,DOCE AMENDOIM
6903202,Pé de moleque,474.0,PE MOLEQUE
6903203,Paçoca,472.17,PACOCA
6903204,Torrão de amendoim,460.339,TORRAO AMENDOIM
6903205,Paçoquinha de amendoim,472.17,PACOQUINHA AMENDOIM
6903207,Amendoim caramelizado,474.0,AMENDOIM CARAMELIZADO
6903208,Amendoim amanteigado,567.0,AMENDOIM AMANTEIGADO
6903209,Amendoim achocolatado,519.0,AMENDOIM ACHOCOLATADO
6903303,Amendoim apimentado,567.0,AMENDOIM APIMENTADO
6903304,Amendoim cozido,318.0,AMENDOIM COZIDO
6903601,Brigadeiro,334.476,BRIGADEIRO
6903701,Bomba de qualquer tipo,339.255,BOMBA QUALQUER TIPO
6903801,Mil folhas,440.331,MIL FOLHAS
6903901,Queijadinha,404.8,QUEIJADINHA
6904101,Doce à base de ovos,131.148,DOCE BASE OVOS
6904104,Caçarola italiana,284.979,CACAROLA ITALIANA
6904105,Quindim,131.148,QUINDIM
6904108,Fios de ovos,131.148,FIOS OVOS
6904201,Doce à base de leite,319.695,DOCE BASE LEITE
6904202,Pavê de qualquer sabor,306.428,PAVE QUALQUER SABOR
6904203,Ambrosia,144.228,AMBROSIA
6904204,Leite geleificado,131.148,LEITE GELEIFICADO
6904205,Chandele de qualquer sabor,131.148,CHANDELE QUALQUER SABOR
6904302,Mumu ,319.695,MUMU
6904401,Canudinho recheado,123.26,CANUDINHO RECHEADO
6904501,Sarolho,336.0,SAROLHO
6904502,Beiju,336.0,BEIJU
6904601,Schimier de fruta (exceto de cana),278.0,SCHIMIER FRUTA EXCETO CANA
6904701,Beijo de moça,387.0,BEIJO MOCA
6904801,Picolé ensacado,79.0,PICOLE ENSACADO
6904807,Geladinho,122.687,GELADINHO
6905001,Churro,401.659,CHURRO
6905101,Pamonha,171.0,PAMONHA
6905401,Algodão-doce,387.0,ALGODAO DOCE
6905603,Io-Iô crem (chocolate em creme),350.0,IO IO CREM CHOCOLATE CREME
6905801,Ovo de páscoa,535.0,OVO PASCOA
6905804,Kinder ovo,535.0,KINDER OVO
6905901,Torrone,460.339,TORRONE
6906001,Arroz-doce,108.49,ARROZ DOCE
6906404,Polpa de coco,402.0,POLPA COCO
6906501,Diet shake,335.524,DIET SHAKE
6906502,Concentrado alimentar diet shake,335.524,CONCENTRADO ALIMENTAR DIET SHAKE
6906602,Açúcar ,387.0,ACUCAR
6907001,Açúcar light,400.0,ACUCAR LIGHT
6907201,Barra de cereais,352.919,BARRA CEREAIS
6907202,Barra de cereais salgada,352.919,BARRA CEREAIS SALGADA
6907203,Barra de cereais doce,352.919,BARRA CEREAIS DOCE
6907301,Sobremesa de qualquer tipo (exceto infantil),131.148,SOBREMESA QUALQUER TIPO EXCETO INFANTIL
6907401,Rabanada,293.0,RABANADA
6907501,Milk shake ,161.089,MILK SHAKE
6907901,Geleia diet,52.637,GELEIA DIET
6908001,Doce de frutas diet,52.637,DOCE FRUTAS DIET
6908401,Pastéis de santa clara,131.148,PASTEIS SANTA CLARA
6908501,Suspiro,358.256,SUSPIRO
6909301,Doce de frutas cristalizado de qualquer sabor diet,52.637,DOCE FRUTAS CRISTALIZADO QUALQUER SABOR DIET
6909601,Sorvete de qualquer sabor industrializado light,188.994,SORVETE QUALQUER SABOR INDUSTRIALIZADO LIGHT
6909701,Sorvete de qualquer sabor industrializado diet,190.0,SORVETE QUALQUER SABOR INDUSTRIALIZADO DIET
6909803,Bala light,235.0,BALA LIGHT
6909901,Chiclete diet,240.0,CHICLETE DIET
6909903,Bala diet,235.0,BALA DIET
6910002,Barra de chocolate light,539.785,BARRA CHOCOLATE LIGHT
6910102,Barra de chocolate diet,539.785,BARRA CHOCOLATE DIET
6910221,Achocolatado em pó light,337.701,ACHOCOLATADO PO LIGHT
6910321,Achocolatado em pó diet,337.701,ACHOCOLATADO PO DIET
6910322,Toddynho diet,73.289,TODDYNHO DIET
6910401,Bombom de qualquer marca light,373.0,BOMBOM QUALQUER MARCA LIGHT
6910501,Bombom de qualquer marca diet,373.0,BOMBOM QUALQUER MARCA DIET
6910502,Bombom caramelizado de qualquer marca diet,373.0,BOMBOM CARAMELIZADO QUALQUER MARCA DIET
6910601,Geleia de frutas de qualquer marca ou sabor light,179.005,GELEIA FRUTAS QUALQUER MARCA SABOR LIGHT
6910604,Geleia light,179.005,GELEIA LIGHT
6910605,Geleia de frutas light,179.005,GELEIA FRUTAS LIGHT
6910701,Doce de frutas em barra ou pasta light,179.005,DOCE FRUTAS BARRA PASTA LIGHT
6910702,Doce de frutas em pasta light,179.005,DOCE FRUTAS PASTA LIGHT
6910801,Pudim de qualquer sabor light,119.148,PUDIM QUALQUER SABOR LIGHT
6910808,Pudim danette light,119.148,PUDIM DANETTE LIGHT
6910901,Pudim de qualquer sabor diet,119.148,PUDIM QUALQUER SABOR DIET
6911201,Doce de leite light,292.291,DOCE LEITE LIGHT
6911301,Doce de leite diet,292.291,DOCE LEITE DIET
6912501,Barra de cereais diet,403.449,BARRA CEREAIS DIET
6912502,Barra de cereais doce diet,403.449,BARRA CEREAIS DOCE DIET
6912801,Milk shake diet,335.524,MILK SHAKE DIET
6913001,Cocada diet,404.8,COCADA DIET
6913101,Doce de amendoim diet,599.0,DOCE AMENDOIM DIET
6913103,Paçoca diet,599.0,PACOCA DIET
6913108,Amendoim amanteigado diet,477.86,AMENDOIM AMANTEIGADO DIET
6913801,Doce à base de leite diet,292.291,DOCE BASE LEITE DIET
6913901,Gelatina de qualquer sabor light,179.005,GELATINA QUALQUER SABOR LIGHT
6914001,Adoçante light,365.0,ADOCANTE LIGHT
