Código do alimento,Descrição do alimento,Calorias,Campo de Pesquisa
6914002,Adoçante em pó light,365.0,ADOCANTE PO LIGHT
6914003,Adoçante liquido light,0.0,ADOCANTE LIQUIDO LIGHT
7001501,Mostarda molho,67.0,MOSTARDA MOLHO
7002304,Hortelã,1.001,HORTELA
7002401,Alcaparra em conserva,23.0,ALCAPARRA CONSERVA
7002601,Coentro,279.0,COENTRO
7003601,Molho de soja,53.0,MOLHO SOJA
7003604,Shoyo,53.0,SHOYO
7003801,Leite de coco,202.46,LEITE COCO
7004301,Maionese (molho),261.052,MAIONESE MOLHO
7004701,Massa de tomate,38.0,MASSA TOMATE
7004801,Molho de tomate,24.0,MOLHO TOMATE
7004802,Ketchup,97.0,KHUP
7004803,Catchup,97.0,CATCHUP
7006101,Pimenta em pó,255.0,PIMENTA PO
7007101,Tucupi em caldo sem pimenta,4.869,TUCUPI CALDO PIMENTA
7007502,Creme de queijo,209.657,CREME QUEIJO
7007701,Caldo de peixe,16.0,CALDO PEIXE
7007901,Caldo de tomate,37.654,CALDO TOMATE
7009102,Gergelim,631.0,GERGELIM
7010301,Tomate seco,213.0,TOMATE SECO
7010401,Maionese (molho) light,156.578,MAIONESE MOLHO LIGHT
7010501,Molho de soja light,53.127,MOLHO SOJA LIGHT
7010601,Leite de coco light,202.46,LEITE COCO LIGHT
7079202,Vinagrete,76.785,VINAGRETE
7100101,Filé-mignon,204.0,FILE MIGNON
7100201,Contrafilé,204.0,CONTRAFILE
7100205,Bisteca bovina,471.0,BISTECA BOVINA
7100301,Alcatra,204.0,ALCATRA
7100303,Maminha,199.0,MAMINHA
7100304,Picanha,204.0,PICANHA
7100501,Patinho,199.0,PATINHO
7100502,Cabeça de lombo (carne bovina),199.0,CABECA LOMBO CARNE BOVINA
7100604,Posta branca,199.0,POSTA BRANCA
7100606,Tatu (lagarto redondo),199.0,TATU LAGARTO REDONDO
7100607,Paulista,199.0,PAULISTA
7100608,Lombo paulista (carne bovina),199.0,LOMBO PAULISTA CARNE BOVINA
7100702,Posta vermelha,199.0,POSTA VERMELHA
7100801,Acém,242.0,ACEM
7100803,Agulha (acém),242.0,AGULHA ACEM
7100905,Paleta ,242.0,PALETA
7100908,Pá com osso,242.0,PA OSSO
7101001,Músculo bovino,199.0,MUSCULO BOVINO
7101006,Chambaril,242.0,CHAMBARIL
7101009,Carne marica bovina,199.0,CARNE MARICA BOVINA
7101011,Vazio (carne bovina),204.0,VAZIO CARNE BOVINA
7101101,Peito bovino,204.0,PEITO BOVINO
7101202,Fraldinha (capa de filé),199.0,FRALDINHA CAPA FILE
7101203,Aba de filé ,242.0,ABA FILE
7101301,Costela bovina,365.0,COSTELA BOVINA
7101704,Jacaré (carne bovina de segunda c/ osso),365.0,JACARE CARNE BOVINA SEGUNDA C  OSSO
7101706,Filé de segunda,242.0,FILE SEGUNDA
7101801,Víscera bovina ,191.0,VISCERA BOVINA
7101806,Panelada (vísceras bovinas não especificadas),100.041,PANELADA VISCERAS BOVINAS ESPECIFICADAS
7101901,Coração bovino,165.0,CORACAO BOVINO
7102001,Rim de boi ,158.0,RIM BOI
7102102,Bofe bovino,158.0,BOFE BOVINO
7102201,Miolo de boi,151.0,MIOLO BOI
7102401,Tripa bovina,94.0,TRIPA BOVINA
7102402,Dobradinha fresca,94.0,DOBRADINHA FRESCA
7102403,Fato bovino,94.0,FATO BOVINO
7102404,Fato caprino,94.0,FATO CAPRINO
7102501,Fígado bovino,191.0,FIGADO BOVINO
7102601,Cupim,330.1002908333333,CUPIM
7102701,Língua bovina,284.0,LINGUA BOVINA
7102801,Rabada de boi,365.0,RABADA BOI
7103101,Mocotó bovino,214.0,MOCOTO BOVINO
7103104,Braço bovino,221.659,BRACO BOVINO
7103105,Mão bovina,214.0,MAO BOVINA
7103301,Carré ,397.0,CARRE
7103305,Bisteca suína,397.0,BISTECA SUINA
7103401,Pernil suíno,289.0,PERNIL SUINO
7103403,Quarto suíno,289.0,QUARTO SUINO
7103501,Costela suína,397.0,COSTELA SUINA
7103701,Lombo suíno,289.0,LOMBO SUINO
7103801,Toucinho,541.0,TOUCINHO
7103903,Míudo suíno,165.0,MIUDO SUINO
7103906,Arrasto suíno,100.041,ARRASTO SUINO
7103907,Sarapatel suíno fresco,100.041,SARAPATEL SUINO FRESCO
7104101,Carne suína,289.0,CARNE SUINA
7104301,Carne moída ,214.0,CARNE MOIDA
7104302,Guisado ,242.0,GUISADO
7104501,Tripa suína,233.0,TRIPA SUINA
7104601,Figado suíno,165.0,FIGADO SUINO
7104701,Língua suína,271.0,LINGUA SUINA
7105001,Orelha suína fresca,214.0,ORELHA SUINA FRESCA
7105103,Sarrabulho,100.041,SARRABULHO
7105203,Mocotó suíno,214.0,MOCOTO SUINO
7105401,Carne de cabrito ,143.0,CARNE CABRITO
7105402,Carne de bode,143.0,CARNE BODE
7105403,Carne caprina,143.0,CARNE CAPRINA
7105405,Carne de caprino,143.0,CARNE CAPRINO
7105601,Carne de carneiro,204.0,CARNE CARNEIRO
7105602,Carne de ovelha,204.0,CARNE OVELHA
7105801,Mocotó de caprino,214.0,MOCOTO CAPRINO
7106301,Pernil ,289.0,PERNIL
7106401,Lagarto bovino ,199.0,LAGARTO BOVINO
7106501,Alcatra suína,289.0,ALCATRA SUINA
7107102,Brachola,204.0,BRACHOLA
7107103,Bife role cru,204.0,BIFE ROLE CRU
7107204,Buchada de bode,125.0,BUCHADA BODE
7107501,Suã suína,397.0,SUA SUINA
7107601,Carne de outros animais,242.0,CARNE OUTROS ANIMAIS
7107603,Carne da paca,212.0,CARNE PACA
7107611,Carne de jacaré,92.0,CARNE JACARE
7107615,Carne de capivara,212.0,CARNE CAPIVARA
7107617,Carne de cotia,212.0,CARNE COTIA
7107622,Carne de jabuti,117.0,CARNE JABUTI
7107801,Carne de primeira ,204.0,CARNE PRIMEIRA
7107804,Chuleta,204.0,CHULETA
7107805,Filé não especificado,204.0,FILE ESPECIFICADO
7108107,Miúdo de bode ,191.0,MIUDO BODE
7108301,Pé suíno fresco,214.0,PE SUINO FRESCO
7109101,Carne bovina ,242.0,CARNE BOVINA
7110601,Lombo não especificado,289.0,LOMBO ESPECIFICADO
7110801,Músculo não especificado,199.0,MUSCULO ESPECIFICADO
7110902,Ossada não especificada,164.0,OSSADA ESPECIFICADA
7111202,Carne de segunda ,242.0,CARNE SEGUNDA
7111401,Contrafilé orgânico,204.0,CONTRAFILE ORGANICO
7111405,Bisteca orgânica,471.0,BISTECA ORGANICA
7111702,Cabeça de lombo (carne bovina) orgânica,199.0,CABECA LOMBO CARNE BOVINA ORGANICA
7111806,Tatu (lagarto redondo) orgânico,199.0,TATU LAGARTO REDONDO ORGANICO
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)  ",117.0,PEIXE MAR INTEIRO POSTA FILE
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.) ",117.0,PEIXE MAR SALGADO INTEIRO POSTA FILE
7260101,Camarão,99.0,CAMARAO
7261101,Siri,102.0,SIRI
7261120,Bau (siri),102.0,BAU SIRI
7261121,Goiá,102.0,GOIA
7262101,Caranguejo,102.0,CARANGUEJO
7262105,Guaiamu,102.0,GUAIAMU
7263101,Marisco,148.0,MARISCO
7264101,Ostra,137.0,OSTRA
7265101,Lula,143.837,LULA
7266101,Sururu,148.0,SURURU
7270401,Bacalhau,117.0,BACALHAU
7273101,Ovas de peixe (qualquer espécie),204.0,OVAS PEIXE QUALQUER ESPECIE
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.) ",117.0,PEIXE AGUA DOCE INTEIRO POSTA FILE
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.) ",117.0,PEIXE AGUA DOCE SALGADO INTEIRO POSTA FILE
7444101,Tracajá,117.0,TRACAJA
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",117.0,PEIXE ESPECIFICADO INTEIRO POSTA FILE
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",117.0,PEIXE ESPECIFICADO SALGADO INTEIRO POSTA FILE
7700101,Azeitona,145.0,AZEITONA
7700201,Ervilha em conserva,69.0,ERVILHA CONSERVA
7700202,Petit-pois,69.0,PETIT POIS
7700401,Milho verde em conserva,81.0,MILHO VERDE CONSERVA
7700501,Palmito em conserva,28.0,PALMITO CONSERVA
7700601,Cogumelo em conserva,50.736,COGUMELO CONSERVA
7700602,Champignon em conserva,50.736,CHAMPIGNON CONSERVA
7700701,Aspargo em conserva,19.0,ASPARGO CONSERVA
7700901,Repolho em conserva,19.0,REPOLHO CONSERVA
7700902,Chucrute,19.0,CHUCRUTE
7701101,Legume não especificado em conserva,47.0,LEGUME ESPECIFICADO CONSERVA
7701404,Creme de cebola (sopa desidratada),46.312,CREME CEBOLA SOPA DESIDRATADA
7701405,Creme de legumes (sopa desidratada),10.548,CREME LEGUMES SOPA DESIDRATADA
7701406,Yakissoba ,527.0,YAKISSOBA
7701501,Milho verde com ervilha em conserva,79.519,MILHO VERDE ERVILHA CONSERVA
7701901,Feijoada,181.589,FEIJOADA
7702001,Feijão branco com dobradinha em conserva,136.383,FEIJAO BRANCO DOBRADINHA CONSERVA
7702101,Cozido,87.327,COZIDO
7702302,Pasta de carne em conserva,245.648,PASTA CARNE CONSERVA
7702402,Pasta de presunto em conserva,276.458,PASTA PRESUNTO CONSERVA
7702502,Pasta de galinha em conserva,214.364,PASTA GALINHA CONSERVA
7702601,Carne bovina em conserva,242.0,CARNE BOVINA CONSERVA
7702602,Almôndega ,214.85,ALMONDEGA
7702603,Kitute bovino,242.0,KITUTE BOVINO
7702604,Almôndega ao molho em conserva,203.517,ALMONDEGA MOLHO CONSERVA
7702704,Kitute suíno,178.0,KITUTE SUINO
7702705,Presuntada,178.0,PRESUNTADA
7702707,Fiambre ,178.0,FIAMBRE
7702801,Salsicha em conserva,269.08,SALSICHA CONSERVA
7703002,Sardinha em conserva,208.0,SARDINHA CONSERVA
7703402,Atum em conserva,198.0,ATUM CONSERVA
7703701,Pepino em conserva,12.0,PEPINO CONSERVA
7703902,Pasta de peixe em conserva,198.0,PASTA PEIXE CONSERVA
7704001,Picles,12.0,PICLES
7705201,Nabo em conserva,43.259,NABO CONSERVA
7705401,Strogonoff ,147.675,STROGONOFF
7706001,Salmão em conserva,136.0,SALMAO CONSERVA
7706104,Creme de cebola (sopa desidratada) light,46.312,CREME CEBOLA SOPA DESIDRATADA LIGHT
7706105,Creme de legumes (sopa desidratada) light,10.548,CREME LEGUMES SOPA DESIDRATADA LIGHT
7706106,Yakissoba (sopa de legumes desidratada) light,80.041,YAKISSOBA SOPA LEGUMES DESIDRATADA LIGHT
7706302,Atum em conserva light,116.0,ATUM CONSERVA LIGHT
7800103,Frango inteiro,239.0,FRANGO INTEIRO
7800301,Parte de galinha ou frango não especificada,239.0,PARTE GALINHA FRANGO ESPECIFICADA
7800302,Frango em pedaços,239.0,FRANGO PEDACOS
7800303,Galinha em pedaços ,239.0,GALINHA PEDACOS
7800304,Carne de galinha ,239.0,CARNE GALINHA
7800401,Peito de galinha ou frango,173.0,PEITO GALINHA FRANGO
7800402,Filé de frango,173.0,FILE FRANGO
7800602,Carcaça de galinha ou frango,173.0,CARCACA GALINHA FRANGO
7800701,Asa de galinha ou frango,290.0,ASA GALINHA FRANGO
7800702,Drumete de galinha ou frango,213.0,DRUMETE GALINHA FRANGO
7800801,Pescoço de galinha ou frango,300.0,PESCOCO GALINHA FRANGO
7800901,Pé de galinha ou frango,215.0,PE GALINHA FRANGO
7801001,Miúdo de galinha ou frango ,167.0,MIUDO GALINHA FRANGO
7801101,Moela de galinha ou frango,146.0,MOELA GALINHA FRANGO
7801202,Coração de frango,185.0,CORACAO FRANGO
7801301,Fígado de galinha ou frango,167.0,FIGADO GALINHA FRANGO
7801407,Canja ,31.471,CANJA
7801702,Peru em pedaço não especificado,207.0,PERU PEDACO ESPECIFICADO
7801801,Peito de peru,140.0,PEITO PERU
7802101,Asa de peru,229.0,ASA PERU
7802701,Chester ,207.0,CHESTER
7802702,Tender,178.0,TENDER
7802801,Nambu ,219.0,NAMBU
7802901,Nuggets de frango,273.016,NUGGETS FRANGO
7802902,Steak de frango,211.837,STEAK FRANGO
7803001,Codorna,269.659,CODORNA
7803201,Pé e asa de galinha ou frango,290.0,PE ASA GALINHA FRANGO
7803301,Ovo de galinha,155.0,OVO GALINHA
7803501,Ovo de codorna,155.0,OVO CODORNA
7803702,"Galinha-d'angola abatida, congelada ou viva",247.0,GALINHA D ANGOLA ABATIDA CONGELADA VIVA
7803703,Capote ,247.0,CAPOTE
7803707,Mutum ,239.0,MUTUM
7803907,Pato em pedaços,201.0,PATO PEDACOS
7803908,Peito de pato,223.659,PEITO PATO
7803913,Carne de pato ,201.0,CARNE PATO
7805401,Peito de peru light,140.0,PEITO PERU LIGHT
7805501,Frango inteiro orgânico,239.0,FRANGO INTEIRO ORGANICO
7805702,Filé de frango orgânico,173.0,FILE FRANGO ORGANICO
7900101,Leite de vaca integral,60.025,LEITE VACA INTEGRAL
7900201,Leite de vaca fresco ,60.025,LEITE VACA FRESCO
7900301,Leite de cabra,69.029,LEITE CABRA
7900601,Leite em pó integral,480.0,LEITE PO INTEGRAL
7900710,Leite em pó desnatado,358.0,LEITE PO DESNATADO
7900801,Leite em pó ,480.0,LEITE PO
7900901,Leite condensado,319.695,LEITE CONDENSADO
7900903,Leite beijinho,319.695,LEITE BEIJINHO
7901001,Creme de leite,292.0,CREME LEITE
7901101,Chantilly,276.39,CHANTILLY
7901201,Iogurte de qualquer sabor,98.694,IOGURTE QUALQUER SABOR
7901203,Iogurte desnatado,56.0,IOGURTE DESNATADO
7901204,Iogurte natural,61.0,IOGURTE NATURAL
7901301,Yakult de qualquer sabor,69.3,YAKULT QUALQUER SABOR
7901303,Bebida láctea,91.13,BEBIDA LACTEA
7901304,Leite fermentado,50.226,LEITE FERMENTADO
7901401,Coalhada,61.0,COALHADA
7901501,Manteiga com ou sem sal,717.0,MANTEIGA SAL
7901505,Manteiga de garrafa,717.0,MANTEIGA GARRAFA
7901602,Margarina com ou sem sal,719.0,MARGARINA SAL
7901701,Queijo prato,302.0,QUEIJO PRATO
7901703,Queijo colonial,302.0,QUEIJO COLONIAL
7901705,Queijo de colônia,302.0,QUEIJO COLONIA
7901801,Queijo muçarela,318.0,QUEIJO MUCARELA
7901803,Muçarela,318.0,MUCARELA
7901807,Muçarela de búfala,318.0,MUCARELA BUFALA
7901809,Queijo de búfala,318.0,QUEIJO BUFALA
7901901,Queijo de reino,356.0,QUEIJO REINO
7902001,Queijo de minas,240.0,QUEIJO MINAS
7902003,Queijo de manteiga,318.0,QUEIJO MANTEIGA
7902004,Quechimia,240.0,QUECHIMIA
7902005,Queijo de coalho,373.0,QUEIJO COALHO
7902008,Queijo canastra,240.0,QUEIJO CANASTRA
7902201,Queijo ricota,174.0,QUEIJO RICOTA
7902301,Leite de soja com sabor ,64.051,LEITE SOJA SABOR
7902303,Ades original,54.0,ADES ORIGINAL
7902403,Queijo ralado,431.0,QUEIJO RALADO
7902501,Queijo provolone,351.0,QUEIJO PROVOLONE
7902801,Queijo polenguinho,349.0,QUEIJO POLENGUINHO
7902901,Requeijão,231.0,REQUEIJAO
7902902,Queijo cremoso,231.0,QUEIJO CREMOSO
7903001,Queijo não especificado,375.0,QUEIJO ESPECIFICADO
7903101,Leite com sabor,83.322,LEITE SABOR
7903102,Leite achocolatado,83.322,LEITE ACHOCOLATADO
7903109,Leite aRomãtizado,83.322,LEITE AROMATIZADO
7903110,Bebida achocolatada,83.322,BEBIDA ACHOCOLATADA
7903201,Nata,195.0,NATA
7903301,Queijo gorgonzola,353.0,QUEIJO GORGONZOLA
7903402,Tofu,61.0,TOFU
7903501,Leite de soja em pó,408.331,LEITE SOJA PO
7903601,Leite de vaca desnatado,34.154,LEITE VACA DESNATADO
7903702,Leite de vaca semidesnatado,42.0,LEITE VACA SEMIDESNATADO
7903801,Leite não especificado pasteurizado,60.025,LEITE ESPECIFICADO PASTEURIZADO
7903901,Iogurte de qualquer sabor light,102.0,IOGURTE QUALQUER SABOR LIGHT
7904001,Iogurte de qualquer sabor diet,51.354,IOGURTE QUALQUER SABOR DIET
7904201,Margarina light,253.685,MARGARINA LIGHT
7904301,Leite de vaca integral orgânico,60.025,LEITE VACA INTEGRAL ORGANICO
7904401,Leite de vaca fresco orgânico,60.025,LEITE VACA FRESCO ORGANICO
7904601,Leite semidesnatado de vaca orgânico,42.0,LEITE SEMIDESNATADO VACA ORGANICO
7904701,Creme de leite orgânico,292.0,CREME LEITE ORGANICO
7904801,Iogurte de qualquer sabor orgânico,98.694,IOGURTE QUALQUER SABOR ORGANICO
7904803,Iogurte de qualquer sabor desnatado orgânico,95.0,IOGURTE QUALQUER SABOR DESNATADO ORGANICO
7904804,Iogurte natural de qualquer sabor orgânico,61.0,IOGURTE NATURAL QUALQUER SABOR ORGANICO
7905103,Muçarela light,302.0,MUCARELA LIGHT
7905104,Queijo muçarela light,302.0,QUEIJO MUCARELA LIGHT
7905201,Leite de soja com sabor light,53.205,LEITE SOJA SABOR LIGHT
7905203,Ades light,39.37,ADES LIGHT
7905601,Creme de leite light,59.0,CREME LEITE LIGHT
7905901,Queijo prato light,297.295,QUEIJO PRATO LIGHT
7906001,Queijo de minas light,90.0,QUEIJO MINAS LIGHT
7906005,Queijo de coalho light,297.295,QUEIJO COALHO LIGHT
7906201,Queijo ricota light,92.692,QUEIJO RICOTA LIGHT
7906303,Queijo ralado light,265.0,QUEIJO RALADO LIGHT
7906401,Queijo polenguinho light,231.0,QUEIJO POLENGUINHO LIGHT
7906501,Requeijão light,231.0,REQUEIJAO LIGHT
7906601,Queijo não especificado light,90.0,QUEIJO ESPECIFICADO LIGHT
7906702,Leite achocolatado light,63.0,LEITE ACHOCOLATADO LIGHT
7906710,Bebida achocolatada light,63.0,BEBIDA ACHOCOLATADA LIGHT
7906801,Leite com sabor diet,73.289,LEITE SABOR DIET
7906802,Leite achocolatado diet,73.289,LEITE ACHOCOLATADO DIET
7906810,Bebida achocolatada diet,73.289,BEBIDA ACHOCOLATADA DIET
7906901,Leite de soja em pó light,379.579,LEITE SOJA PO LIGHT
7907001,Leite em pó com sabor,405.0,LEITE PO SABOR
7907101,Manteiga com ou sem sal light,347.315,MANTEIGA SAL LIGHT
7907301,Queijo de minas frescal orgânico,240.0,QUEIJO MINAS FRESCAL ORGANICO
7907305,Queijo de coalho frescal orgânico,373.0,QUEIJO COALHO FRESCAL ORGANICO
8000103,Pão de hambúrguer,279.0,PAO HAMBURGUER
8000105,Pão de sal,300.0,PAO SAL
8000201,Pão doce,355.226,PAO DOCE
8000203,Chineque,355.226,CHINEQUE
8000218,Chineque com farofa,355.226,CHINEQUE FAROFA
8000229,Pão de mel,508.364,PAO MEL
8000234,Panetone,355.95,PANETONE
8000237,Bisnaguinha,310.0,BISNAGUINHA
8000240,Croissant,455.157,CROISSANT
8000501,Pão de forma industrializado de qualquer marca,266.0,PAO FORMA INDUSTRIALIZADO QUALQUER MARCA
8000801,Pão de queijo,363.0,PAO QUEIJO
8001101,Pão de milho,316.623,PAO MILHO
8001401,Pão integral,247.0,PAO INTEGRAL
8001501,Pão não especificado,300.0,PAO ESPECIFICADO
8001901,Torrada de qualquer pão,377.0,TORRADA QUALQUER PAO
8002001,Rosca doce,422.97,ROSCA DOCE
8002002,Rosquinha doce,443.0,ROSQUINHA DOCE
8002101,Rosca salgada,245.75,ROSCA SALGADA
8002106,Rosquinha salgada,432.0,ROSQUINHA SALGADA
8002201,Biscoito salgado,432.0,BISCOITO SALGADO
8002205,Presuntinho biscoito,508.99,PRESUNTINHO BISCOITO
8002212,Biscoito de polvilho,436.72,BISCOITO POLVILHO
8002225,Bolacha salgada,432.0,BOLACHA SALGADA
8002227,Chips (salgadinhos),558.86,CHIPS SALGADINHOS
8002230,Baconzitos,508.99,BACONZITOS
8002236,Biscoito salgado integral,412.432,BISCOITO SALGADO INTEGRAL
8002301,Biscoito doce,443.0,BISCOITO DOCE
8002302,Cavaco chinês,443.0,CAVACO CHINES
8002305,Sequilho,443.0,SEQUILHO
8002306,Tareço,443.0,TARECO
8002309,Solda,432.0,SOLDA
8002315,Brevidade,371.2187724479208,BREVIDADE
8002334,Bolacha doce,443.0,BOLACHA DOCE
8002335,Maria maluca (bolacha doce),443.0,MARIA MALUCA BOLACHA DOCE
8002405,Quebra-quebra,443.0,QUEBRA QUEBRA
8002502,Rocambole,339.255,ROCAMBOLE
8002503,Cuca de qualquer tipo,355.226,CUCA QUALQUER TIPO
8002601,Bolo de milho,311.0,BOLO MILHO
8002604,Amidomil (bolinho),311.0,AMIDOMIL BOLINHO
8002605,Angusor de milho,311.0,ANGUSOR MILHO
8002609,Grustoli (bolinho doce),421.368,GRUSTOLI BOLINHO DOCE
8002701,Bolo de aipim,324.0,BOLO AIPIM
8002702,Bolo de tapioca,324.0,BOLO TAPIOCA
8002703,Bolo de macaxeira,324.0,BOLO MACAXEIRA
8002704,Bolo de goma,324.0,BOLO GOMA
8002801,Bolo de batata-doce,324.0,BOLO BATATA DOCE
8002901,Bolo de arroz,324.0,BOLO ARROZ
8003101,Bolo de cará,324.0,BOLO CARA
8003501,Tortas doces de qualquer sabor,119.665,TORTAS DOCES QUALQUER SABOR
8003601,Tortas salgadas de qualquer sabor,249.549,TORTAS SALGADAS QUALQUER SABOR
8003701,Sonho,378.787,SONHO
8003702,Filhos (bolinho de farinha de trigo e ovos),421.368,FILHOS BOLINHO FARINHA TRIGO OVOS
8003801,Bolo de chocolate,312.8,BOLO CHOCOLATE
8003902,Brioche,366.837,BRIOCHE
